Designation,d[mm],D[mm],B[mm],C[kN],Co[kN],Pu[kN],G-Speed[r/min],O-Speed[r/min]
71913 CB/HCP4A,65.0,90.0,13.0,10.6,9.5,0.29,24000.0,36000.0
71913 CB/HCP4AL,65.0,90.0,13.0,10.6,9.5,0.29,24000.0,36000.0
S71913 CB/HCP4A,65.0,90.0,13.0,10.6,9.5,0.29,24000.0,
71913 CB/P4A,65.0,90.0,13.0,10.6,9.5,0.4,20000.0,30000.0
71913 CB/P4AL,65.0,90.0,13.0,10.6,9.5,0.4,20000.0,30000.0
S71913 CB/P4A,65.0,90.0,13.0,10.6,9.5,0.4,20000.0,
71913 ACE/P4A,65.0,90.0,13.0,15.6,11.8,0.5,18000.0,28000.0
71913 ACE/P4AH1,65.0,90.0,13.0,15.6,11.8,0.5,18000.0,28000.0
71913 ACE/P4AL,65.0,90.0,13.0,15.6,11.8,0.5,18000.0,28000.0
S71913 ACE/P4A,65.0,90.0,13.0,15.6,11.8,0.5,18000.0,
71913 ACE/HCP4A,65.0,90.0,13.0,15.6,11.8,0.5,22000.0,34000.0
71913 ACE/HCP4AH1,65.0,90.0,13.0,15.6,11.8,0.5,22000.0,34000.0
71913 ACE/HCP4AL,65.0,90.0,13.0,15.6,11.8,0.5,22000.0,34000.0
S71913 ACE/HCP4A,65.0,90.0,13.0,15.6,11.8,0.5,22000.0,
71913 CE/P4A,65.0,90.0,13.0,16.5,12.5,0.53,20000.0,31000.0
71913 CE/P4AH1,65.0,90.0,13.0,16.5,12.5,0.53,20000.0,31000.0
71913 CE/P4AL,65.0,90.0,13.0,16.5,12.5,0.53,20000.0,31000.0
S71913 CE/P4A,65.0,90.0,13.0,16.5,12.5,0.53,20000.0,
71913 CE/HCP4A,65.0,90.0,13.0,16.5,12.5,0.53,24000.0,38000.0
71913 CE/HCP4AH1,65.0,90.0,13.0,16.5,12.5,0.53,24000.0,38000.0
71913 CE/HCP4AL,65.0,90.0,13.0,16.5,12.5,0.53,24000.0,38000.0
S71913 CE/HCP4A,65.0,90.0,13.0,16.5,12.5,0.53,24000.0,
71913 ACD/HCP4A,65.0,90.0,13.0,19.5,16.0,0.49,15000.0,24000.0
71913 ACD/HCP4AL,65.0,90.0,13.0,19.5,16.0,0.49,15000.0,24000.0
S71913 ACD/HCP4A,65.0,90.0,13.0,19.5,16.0,0.49,15000.0,
71913 ACD/P4A,65.0,90.0,13.0,19.5,16.0,0.68,13000.0,20000.0
71913 ACD/P4AL,65.0,90.0,13.0,19.5,16.0,0.68,13000.0,20000.0
S71913 ACD/P4A,65.0,90.0,13.0,19.5,16.0,0.68,13000.0,
71913 CD/HCP4A,65.0,90.0,13.0,20.8,17.0,0.52,17000.0,26000.0
71913 CD/HCP4AL,65.0,90.0,13.0,20.8,17.0,0.52,17000.0,26000.0
S71913 CD/HCP4A,65.0,90.0,13.0,20.8,17.0,0.52,17000.0,
71913 CD/P4A,65.0,90.0,13.0,20.8,17.0,0.71,14000.0,22000.0
71913 CD/P4AL,65.0,90.0,13.0,20.8,17.0,0.71,14000.0,22000.0
