Designation,d[mm],D[mm],B[mm],C[kN],Co[kN],Pu[kN],G-Speed[r/min],O-Speed[r/min]
71924 CD/P4AH1,120.0,165.0,22.0,78.0,91.5,3.25,7500.0,12000.0
71924 CD/P4AL,120.0,165.0,22.0,78.0,91.5,3.25,7500.0,12000.0
S71924 CD/P4A,120.0,165.0,22.0,78.0,91.5,3.25,7500.0,
7024 ACB/HCP4A,120.0,180.0,28.0,35.8,36.5,0.93,10000.0,15000.0
7024 ACB/HCP4AL,120.0,180.0,28.0,35.8,36.5,0.93,10000.0,15000.0
S7024 ACB/HCP4A,120.0,180.0,28.0,35.8,36.5,0.93,10000.0,
7024 ACB/P4A,120.0,180.0,28.0,35.8,36.5,1.27,8500.0,13000.0
7024 ACB/P4AL,120.0,180.0,28.0,35.8,36.5,1.27,8500.0,13000.0
S7024 ACB/P4A,120.0,180.0,28.0,35.8,36.5,1.27,8500.0,
7024 CB/HCP4A,120.0,180.0,28.0,37.7,39.0,0.98,11000.0,17000.0
7024 CB/HCP4AL,120.0,180.0,28.0,37.7,39.0,0.98,11000.0,17000.0
S7024 CB/HCP4A,120.0,180.0,28.0,37.7,39.0,0.98,11000.0,
7024 CB/P4A,120.0,180.0,28.0,37.7,39.0,1.34,9500.0,14000.0
7024 CB/P4AL,120.0,180.0,28.0,37.7,39.0,1.34,9500.0,14000.0
S7024 CB/P4A,120.0,180.0,28.0,37.7,39.0,1.34,9500.0,
7024 ACE/HCP4A,120.0,180.0,28.0,54.0,52.0,1.32,10000.0,15500.0
7024 ACE/HCP4AH1,120.0,180.0,28.0,54.0,52.0,1.32,10000.0,15500.0
7024 ACE/HCP4AL,120.0,180.0,28.0,54.0,52.0,1.32,10000.0,15500.0
7024 ACE/HCP4AL1,120.0,180.0,28.0,54.0,52.0,1.32,10000.0,15500.0
S7024 ACE/HCP4A,120.0,180.0,28.0,54.0,52.0,1.32,10000.0,
7024 ACE/P4A,120.0,180.0,28.0,54.0,52.0,1.8,8300.0,13000.0
7024 ACE/P4AH1,120.0,180.0,28.0,54.0,52.0,1.8,8300.0,13000.0
7024 ACE/P4AL,120.0,180.0,28.0,54.0,52.0,1.8,8300.0,13000.0
7024 ACE/P4AL1,120.0,180.0,28.0,54.0,52.0,1.8,8300.0,13000.0
S7024 ACE/P4A,120.0,180.0,28.0,54.0,52.0,1.8,8300.0,
7024 CE/HCP4A,120.0,180.0,28.0,57.2,55.0,1.37,11200.0,17500.0
7024 CE/HCP4AH1,120.0,180.0,28.0,57.2,55.0,1.37,11200.0,17500.0
7024 CE/HCP4AL,120.0,180.0,28.0,57.2,55.0,1.37,11200.0,17500.0
7024 CE/HCP4AL1,120.0,180.0,28.0,57.2,55.0,1.37,11200.0,17500.0
S7024 CE/HCP4A,120.0,180.0,28.0,57.2,55.0,1.37,11200.0,
7024 CE/P4A,120.0,180.0,28.0,57.2,55.0,1.9,9300.0,14500.0
7024 CE/P4AH1,120.0,180.0,28.0,57.2,55.0,1.9,9300.0,14500.0
7024 CE/P4AL,120.0,180.0,28.0,57.2,55.0,1.9,9300.0,14500.0
7024 CE/P4AL1,120.0,180.0,28.0,57.2,55.0,1.9,9300.0,14500.0
S7024 CE/P4A,120.0,180.0,28.0,57.2,55.0,1.9,9300.0,
7024 ACD/HCP4A,120.0,180.0,28.0,111.0,116.0,2.9,8000.0,12000.0
7024 ACD/HCP4AH1,120.0,180.0,28.0,111.0,116.0,2.9,8000.0,12000.0
7024 ACD/HCP4AL,120.0,180.0,28.0,111.0,116.0,2.9,8000.0,12000.0
S7024 ACD/HCP4A,120.0,180.0,28.0,111.0,116.0,2.9,8000.0,
7024 ACD/P4A,120.0,180.0,28.0,111.0,116.0,4.0,6700.0,10000.0
7024 ACD/P4AH1,120.0,180.0,28.0,111.0,116.0,4.0,6700.0,10000.0
7024 ACD/P4AL,120.0,180.0,28.0,111.0,116.0,4.0,6700.0,10000.0
S7024 ACD/P4A,120.0,180.0,28.0,111.0,116.0,4.0,6700.0,
7024 CD/HCP4A,120.0,180.0,28.0,114.0,122.0,3.1,8500.0,13000.0
7024 CD/HCP4AH1,120.0,180.0,28.0,114.0,122.0,3.1,8500.0,13000.0
7024 CD/HCP4AL,120.0,180.0,28.0,114.0,122.0,3.1,8500.0,13000.0
S7024 CD/HCP4A,120.0,180.0,28.0,114.0,122.0,3.1,8500.0,
7024 CD/P4A,120.0,180.0,28.0,114.0,122.0,4.25,7000.0,11000.0
7024 CD/P4AH1,120.0,180.0,28.0,114.0,122.0,4.25,7000.0,11000.0
7024 CD/P4AL,120.0,180.0,28.0,114.0,122.0,4.25,7000.0,11000.0
S7024 CD/P4A,120.0,180.0,28.0,114.0,122.0,4.25,7000.0,
7224 ACD/HCP4A,120.0,215.0,40.0,190.0,183.0,4.4,7000.0,11000.0
7224 ACD/P4A,120.0,215.0,40.0,190.0,183.0,6.0,6000.0,9000.0
7224 CD/HCP4A,120.0,215.0,40.0,199.0,193.0,4.55,8000.0,12000.0
7224 CD/P4A,120.0,215.0,40.0,199.0,193.0,6.3,6700.0,10000.0
71826 ACD/HCP4,130.0,165.0,18.0,36.4,50.0,1.27,7500.0,12000.0
71826 ACD/P4,130.0,165.0,18.0,36.4,50.0,1.76,6300.0,9500.0
71826 CD/HCP4,130.0,165.0,18.0,39.0,53.0,1.34,8500.0,13000.0
71826 CD/P4,130.0,165.0,18.0,39.0,53.0,1.86,7000.0,11000.0
71926 ACD/HCP4A,130.0,180.0,24.0,87.1,102.0,2.55,7500.0,12000.0
71926 ACD/HCP4AH1,130.0,180.0,24.0,87.1,102.0,2.55,7500.0,12000.0
71926 ACD/HCP4AL,130.0,180.0,24.0,87.1,102.0,2.55,7500.0,12000.0
S71926 ACD/HCP4A,130.0,180.0,24.0,87.1,102.0,2.55,7500.0,
71926 ACD/P4A,130.0,180.0,24.0,87.1,102.0,3.45,6700.0,10000.0
71926 ACD/P4AH1,130.0,180.0,24.0,87.1,102.0,3.45,6700.0,10000.0
71926 ACD/P4AL,130.0,180.0,24.0,87.1,102.0,3.45,6700.0,10000.0
S71926 ACD/P4A,130.0,180.0,24.0,87.1,102.0,3.45,6700.0,
71926 CD/HCP4A,130.0,180.0,24.0,92.3,108.0,2.7,8500.0,13000.0
71926 CD/HCP4AH1,130.0,180.0,24.0,92.3,108.0,2.7,8500.0,13000.0
71926 CD/HCP4AL,130.0,180.0,24.0,92.3,108.0,2.7,8500.0,13000.0
S71926 CD/HCP4A,130.0,180.0,24.0,92.3,108.0,2.7,8500.0,
71926 CD/P4A,130.0,180.0,24.0,92.3,108.0,3.65,7000.0,11000.0
71926 CD/P4AH1,130.0,180.0,24.0,92.3,108.0,3.65,7000.0,11000.0
71926 CD/P4AL,130.0,180.0,24.0,92.3,108.0,3.65,7000.0,11000.0
S71926 CD/P4A,130.0,180.0,24.0,92.3,108.0,3.65,7000.0,
7026 ACD/HCP4A,130.0,200.0,33.0,140.0,150.0,3.6,7500.0,12000.0
7026 ACD/HCP4AH1,130.0,200.0,33.0,140.0,150.0,3.6,7500.0,12000.0
7026 ACD/HCP4AL,130.0,200.0,33.0,140.0,150.0,3.6,7500.0,12000.0
S7026 ACD/HCP4A,130.0,200.0,33.0,140.0,150.0,3.6,7500.0,
7026 ACD/P4A,130.0,200.0,33.0,140.0,150.0,4.9,6000.0,9000.0
7026 ACD/P4AH1,130.0,200.0,33.0,140.0,150.0,4.9,6000.0,9000.0
7026 ACD/P4AL,130.0,200.0,33.0,140.0,150.0,4.9,6000.0,9000.0
S7026 ACD/P4A,130.0,200.0,33.0,140.0,150.0,4.9,6000.0,
7026 CD/HCP4A,130.0,200.0,33.0,148.0,156.0,3.8,8000.0,13000.0
7026 CD/HCP4AH1,130.0,200.0,33.0,148.0,156.0,3.8,8000.0,13000.0
7026 CD/HCP4AL,130.0,200.0,33.0,148.0,156.0,3.8,8000.0,13000.0
S7026 CD/HCP4A,130.0,200.0,33.0,148.0,156.0,3.8,8000.0,
7026 CD/P4A,130.0,200.0,33.0,148.0,156.0,5.2,7000.0,10000.0
7026 CD/P4AH1,130.0,200.0,33.0,148.0,156.0,5.2,7000.0,10000.0
7026 CD/P4AL,130.0,200.0,33.0,148.0,156.0,5.2,7000.0,10000.0
S7026 CD/P4A,130.0,200.0,33.0,148.0,156.0,5.2,7000.0,
7226 ACD/HCP4A,130.0,230.0,40.0,203.0,212.0,4.9,6700.0,10000.0
7226 ACD/P4A,130.0,230.0,40.0,203.0,212.0,6.7,5600.0,8500.0
7226 CD/HCP4A,130.0,230.0,40.0,216.0,224.0,5.1,7500.0,11000.0
7226 CD/P4A,130.0,230.0,40.0,216.0,224.0,6.95,6300.0,9500.0
71828 ACD/HCP4,140.0,175.0,18.0,42.3,58.5,1.46,7000.0,11000.0
71828 ACD/P4,140.0,175.0,18.0,42.3,58.5,2.0,6000.0,9000.0
71828 CD/HCP4,140.0,175.0,18.0,44.9,62.0,1.53,8000.0,12000.0
71828 CD/P4,140.0,175.0,18.0,44.9,62.0,2.12,6300.0,10000.0
71928 ACD/HCP4A,140.0,190.0,24.0,90.4,110.0,2.65,7000.0,11000.0
71928 ACD/HCP4AH1,140.0,190.0,24.0,90.4,110.0,2.65,7000.0,11000.0
71928 ACD/HCP4AL,140.0,190.0,24.0,90.4,110.0,2.65,7000.0,11000.0
S71928 ACD/HCP4A,140.0,190.0,24.0,90.4,110.0,2.65,7000.0,
71928 ACD/P4A,140.0,190.0,24.0,90.4,110.0,3.65,6000.0,9000.0
71928 ACD/P4AH1,140.0,190.0,24.0,90.4,110.0,3.65,6000.0,9000.0
71928 ACD/P4AL,140.0,190.0,24.0,90.4,110.0,3.65,6000.0,9000.0
S71928 ACD/P4A,140.0,190.0,24.0,90.4,110.0,3.65,6000.0,
71928 CD/HCP4A,140.0,190.0,24.0,95.6,116.0,2.8,8000.0,12000.0
71928 CD/HCP4AH1,140.0,190.0,24.0,95.6,116.0,2.8,8000.0,12000.0
71928 CD/HCP4AL,140.0,190.0,24.0,95.6,116.0,2.8,8000.0,12000.0
S71928 CD/HCP4A,140.0,190.0,24.0,95.6,116.0,2.8,8000.0,
71928 CD/P4A,140.0,190.0,24.0,95.6,116.0,3.9,6700.0,10000.0
71928 CD/P4AH1,140.0,190.0,24.0,95.6,116.0,3.9,6700.0,10000.0
71928 CD/P4AL,140.0,190.0,24.0,95.6,116.0,3.9,6700.0,10000.0
S71928 CD/P4A,140.0,190.0,24.0,95.6,116.0,3.9,6700.0,
7028 ACD/HCP4A,140.0,210.0,33.0,146.0,156.0,3.65,7000.0,11000.0
7028 ACD/HCP4AH1,140.0,210.0,33.0,146.0,156.0,3.65,7000.0,11000.0
7028 ACD/HCP4AL,140.0,210.0,33.0,146.0,156.0,3.65,7000.0,11000.0
S7028 ACD/HCP4A,140.0,210.0,33.0,146.0,156.0,3.65,7000.0,
7028 ACD/P4A,140.0,210.0,33.0,146.0,156.0,5.1,5600.0,8500.0
7028 ACD/P4AH1,140.0,210.0,33.0,146.0,156.0,5.1,5600.0,8500.0
7028 ACD/P4AL,140.0,210.0,33.0,146.0,156.0,5.1,5600.0,8500.0
S7028 ACD/P4A,140.0,210.0,33.0,146.0,156.0,5.1,5600.0,
7028 CD/HCP4A,140.0,210.0,33.0,153.0,166.0,3.9,7500.0,12000.0
7028 CD/HCP4AH1,140.0,210.0,33.0,153.0,166.0,3.9,7500.0,12000.0
7028 CD/HCP4AL,140.0,210.0,33.0,153.0,166.0,3.9,7500.0,12000.0
S7028 CD/HCP4A,140.0,210.0,33.0,153.0,166.0,3.9,7500.0,
7028 CD/P4A,140.0,210.0,33.0,153.0,166.0,5.3,6700.0,10000.0
7028 CD/P4AH1,140.0,210.0,33.0,153.0,166.0,5.3,6700.0,10000.0
7028 CD/P4AL,140.0,210.0,33.0,153.0,166.0,5.3,6700.0,10000.0
S7028 CD/P4A,140.0,210.0,33.0,153.0,166.0,5.3,6700.0,
7228 ACD/HCP4A,140.0,250.0,42.0,212.0,228.0,5.1,6000.0,9000.0
7228 ACD/P4A,140.0,250.0,42.0,212.0,228.0,6.95,5000.0,7500.0
7228 CD/HCP4A,140.0,250.0,42.0,221.0,240.0,5.3,7000.0,10000.0
7228 CD/P4A,140.0,250.0,42.0,221.0,240.0,7.35,5600.0,8500.0
71830 ACD/HCP4,150.0,190.0,20.0,48.8,68.0,1.63,6300.0,10000.0
71830 ACD/P4,150.0,190.0,20.0,48.8,68.0,2.2,5300.0,8500.0
71830 CD/HCP4,150.0,190.0,20.0,52.0,72.0,1.73,7000.0,11000.0
71830 CD/P4,150.0,190.0,20.0,52.0,72.0,2.36,6000.0,9000.0
71930 ACD/HCP4A,150.0,210.0,28.0,108.0,125.0,2.9,6700.0,10000.0
71930 ACD/HCP4AH1,150.0,210.0,28.0,108.0,125.0,2.9,6700.0,10000.0
71930 ACD/HCP4AL,150.0,210.0,28.0,108.0,125.0,2.9,6700.0,10000.0
S71930 ACD/HCP4A,150.0,210.0,28.0,108.0,125.0,2.9,6700.0,
71930 ACD/P4A,150.0,210.0,28.0,108.0,125.0,3.9,5600.0,8500.0
71930 ACD/P4AH1,150.0,210.0,28.0,108.0,125.0,3.9,5600.0,8500.0
71930 ACD/P4AL,150.0,210.0,28.0,108.0,125.0,3.9,5600.0,8500.0
S71930 ACD/P4A,150.0,210.0,28.0,108.0,125.0,3.9,5600.0,
71930 CD/HCP4A,150.0,210.0,28.0,114.0,132.0,3.05,7500.0,11000.0
71930 CD/HCP4AH1,150.0,210.0,28.0,114.0,132.0,3.05,7500.0,11000.0
71930 CD/HCP4AL,150.0,210.0,28.0,114.0,132.0,3.05,7500.0,11000.0
S71930 CD/HCP4A,150.0,210.0,28.0,114.0,132.0,3.05,7500.0,
71930 CD/P4A,150.0,210.0,28.0,114.0,132.0,4.15,6300.0,9500.0
71930 CD/P4AH1,150.0,210.0,28.0,114.0,132.0,4.15,6300.0,9500.0
71930 CD/P4AL,150.0,210.0,28.0,114.0,132.0,4.15,6300.0,9500.0
S71930 CD/P4A,150.0,210.0,28.0,114.0,132.0,4.15,6300.0,
7030 ACD/HCP4A,150.0,225.0,35.0,163.0,180.0,4.05,6700.0,10000.0
7030 ACD/HCP4AH1,150.0,225.0,35.0,163.0,180.0,4.05,6700.0,10000.0
7030 ACD/HCP4AL,150.0,225.0,35.0,163.0,180.0,4.05,6700.0,10000.0
S7030 ACD/HCP4A,150.0,225.0,35.0,163.0,180.0,4.05,6700.0,
7030 ACD/P4A,150.0,225.0,35.0,163.0,180.0,5.6,5300.0,8000.0
7030 ACD/P4AH1,150.0,225.0,35.0,163.0,180.0,5.6,5300.0,8000.0
7030 ACD/P4AL,150.0,225.0,35.0,163.0,180.0,5.6,5300.0,8000.0
S7030 ACD/P4A,150.0,225.0,35.0,163.0,180.0,5.6,5300.0,
7030 CD/HCP4A,150.0,225.0,35.0,172.0,190.0,4.3,7000.0,11000.0
7030 CD/HCP4AH1,150.0,225.0,35.0,172.0,190.0,4.3,7000.0,11000.0
7030 CD/HCP4AL,150.0,225.0,35.0,172.0,190.0,4.3,7000.0,11000.0
S7030 CD/HCP4A,150.0,225.0,35.0,172.0,190.0,4.3,7000.0,
7030 CD/P4A,150.0,225.0,35.0,172.0,190.0,5.85,6000.0,9000.0
7030 CD/P4AH1,150.0,225.0,35.0,172.0,190.0,5.85,6000.0,9000.0
7030 CD/P4AL,150.0,225.0,35.0,172.0,190.0,5.85,6000.0,9000.0
S7030 CD/P4A,150.0,225.0,35.0,172.0,190.0,5.85,6000.0,
71832 ACD/HCP4,160.0,200.0,20.0,50.7,75.0,1.73,6000.0,9500.0
71832 ACD/P4,160.0,200.0,20.0,50.7,75.0,2.36,5000.0,8000.0
71832 CD/HCP4,160.0,200.0,20.0,54.0,78.0,1.83,6700.0,10000.0
71832 CD/P4,160.0,200.0,20.0,54.0,78.0,2.5,5600.0,8500.0
71932 ACD/HCP4A,160.0,220.0,28.0,124.0,153.0,3.45,6300.0,9500.0
71932 ACD/HCP4AH1,160.0,220.0,28.0,124.0,153.0,3.45,6300.0,9500.0
71932 ACD/HCP4AL,160.0,220.0,28.0,124.0,153.0,3.45,6300.0,9500.0
71932 ACD/P4A,160.0,220.0,28.0,124.0,153.0,4.75,5300.0,8000.0
71932 ACD/P4AH1,160.0,220.0,28.0,124.0,153.0,4.75,5300.0,8000.0
71932 ACD/P4AL,160.0,220.0,28.0,124.0,153.0,4.75,5300.0,8000.0
71932 CD/HCP4A,160.0,220.0,28.0,130.0,160.0,3.65,7500.0,11000.0
71932 CD/HCP4AH1,160.0,220.0,28.0,130.0,160.0,3.65,7500.0,11000.0
71932 CD/HCP4AL,160.0,220.0,28.0,130.0,160.0,3.65,7500.0,11000.0
71932 CD/P4A,160.0,220.0,28.0,130.0,160.0,5.0,6000.0,9000.0
71932 CD/P4AH1,160.0,220.0,28.0,130.0,160.0,5.0,6000.0,9000.0
71932 CD/P4AL,160.0,220.0,28.0,130.0,160.0,5.0,6000.0,9000.0
7032 ACD/HCP4A,160.0,240.0,38.0,182.0,204.0,4.5,6300.0,9500.0
7032 ACD/HCP4AH1,160.0,240.0,38.0,182.0,204.0,4.5,6300.0,9500.0
7032 ACD/HCP4AL,160.0,240.0,38.0,182.0,204.0,4.5,6300.0,9500.0
7032 ACD/P4A,160.0,240.0,38.0,182.0,204.0,6.2,5000.0,7500.0
7032 ACD/P4AH1,160.0,240.0,38.0,182.0,204.0,6.2,5000.0,7500.0
7032 ACD/P4AL,160.0,240.0,38.0,182.0,204.0,6.2,5000.0,7500.0
7032 CD/HCP4A,160.0,240.0,38.0,195.0,216.0,4.75,6700.0,11000.0
7032 CD/HCP4AH1,160.0,240.0,38.0,195.0,216.0,4.75,6700.0,11000.0
7032 CD/HCP4AL,160.0,240.0,38.0,195.0,216.0,4.75,6700.0,11000.0
7032 CD/P4A,160.0,240.0,38.0,195.0,216.0,6.55,5600.0,8500.0
7032 CD/P4AH1,160.0,240.0,38.0,195.0,216.0,6.55,5600.0,8500.0
7032 CD/P4AL,160.0,240.0,38.0,195.0,216.0,6.55,5600.0,8500.0
71934 ACD/HCP4A,170.0,230.0,28.0,124.0,160.0,3.45,6000.0,9000.0
71934 ACD/HCP4AH1,170.0,230.0,28.0,124.0,160.0,3.45,6000.0,9000.0
71934 ACD/P4A,170.0,230.0,28.0,124.0,160.0,4.8,5000.0,7500.0
71934 ACD/P4AH1,170.0,230.0,28.0,124.0,160.0,4.8,5000.0,7500.0
71934 CD/HCP4A,170.0,230.0,28.0,133.0,166.0,3.65,7000.0,10000.0
71934 CD/HCP4AH1,170.0,230.0,28.0,133.0,166.0,3.65,7000.0,10000.0
71934 CD/P4A,170.0,230.0,28.0,133.0,166.0,5.1,5600.0,8500.0
71934 CD/P4AH1,170.0,230.0,28.0,133.0,166.0,5.1,5600.0,8500.0
7034 ACD/HCP4A,170.0,260.0,42.0,199.0,232.0,4.9,6000.0,9000.0
7034 ACD/HCP4AH1,170.0,260.0,42.0,199.0,232.0,4.9,6000.0,9000.0
7034 ACD/HCP4AL,170.0,260.0,42.0,199.0,232.0,4.9,6000.0,9000.0
7034 ACD/P4A,170.0,260.0,42.0,199.0,232.0,6.7,4800.0,7000.0
7034 ACD/P4AH1,170.0,260.0,42.0,199.0,232.0,6.7,4800.0,7000.0
7034 ACD/P4AL,170.0,260.0,42.0,199.0,232.0,6.7,4800.0,7000.0
7034 CD/HCP4A,170.0,260.0,42.0,212.0,245.0,5.2,6300.0,10000.0
7034 CD/HCP4AH1,170.0,260.0,42.0,212.0,245.0,5.2,6300.0,10000.0
7034 CD/HCP4AL,170.0,260.0,42.0,212.0,245.0,5.2,6300.0,10000.0
7034 CD/P4A,170.0,260.0,42.0,212.0,245.0,7.1,5300.0,8000.0
7034 CD/P4AH1,170.0,260.0,42.0,212.0,245.0,7.1,5300.0,8000.0
7034 CD/P4AL,170.0,260.0,42.0,212.0,245.0,7.1,5300.0,8000.0
71936 ACD/HCP4A,180.0,250.0,33.0,159.0,200.0,4.25,5600.0,8500.0
71936 ACD/HCP4AH1,180.0,250.0,33.0,159.0,200.0,4.25,5600.0,8500.0
71936 ACD/P4A,180.0,250.0,33.0,159.0,200.0,5.85,4800.0,7000.0
71936 ACD/P4AH1,180.0,250.0,33.0,159.0,200.0,5.85,4800.0,7000.0
71936 CD/HCP4A,180.0,250.0,33.0,168.0,212.0,4.5,6700.0,9500.0
71936 CD/HCP4AH1,180.0,250.0,33.0,168.0,212.0,4.5,6700.0,9500.0
71936 CD/P4A,180.0,250.0,33.0,168.0,212.0,6.1,5300.0,8000.0
71936 CD/P4AH1,180.0,250.0,33.0,168.0,212.0,6.1,5300.0,8000.0
7036 ACD/HCP4A,180.0,280.0,46.0,229.0,275.0,5.6,5300.0,8000.0
7036 ACD/HCP4AH1,180.0,280.0,46.0,229.0,275.0,5.6,5300.0,8000.0
7036 ACD/HCP4AL,180.0,280.0,46.0,229.0,275.0,5.6,5300.0,8000.0
7036 ACD/P4A,180.0,280.0,46.0,229.0,275.0,7.65,4300.0,6300.0
7036 ACD/P4AH1,180.0,280.0,46.0,229.0,275.0,7.65,4300.0,6300.0
7036 ACD/P4AL,180.0,280.0,46.0,229.0,275.0,7.65,4300.0,6300.0
7036 CD/HCP4A,180.0,280.0,46.0,242.0,290.0,5.85,6000.0,9000.0
7036 CD/HCP4AH1,180.0,280.0,46.0,242.0,290.0,5.85,6000.0,9000.0
7036 CD/HCP4AL,180.0,280.0,46.0,242.0,290.0,5.85,6000.0,9000.0
7036 CD/P4A,180.0,280.0,46.0,242.0,290.0,8.15,5000.0,7500.0
7036 CD/P4AH1,180.0,280.0,46.0,242.0,290.0,8.15,5000.0,7500.0
7036 CD/P4AL,180.0,280.0,46.0,242.0,290.0,8.15,5000.0,7500.0
71938 ACD/HCP4A,190.0,260.0,33.0,163.0,208.0,4.3,5300.0,8000.0
71938 ACD/HCP4AH1,190.0,260.0,33.0,163.0,208.0,4.3,5300.0,8000.0
71938 ACD/P4A,190.0,260.0,33.0,163.0,208.0,5.85,4500.0,6700.0
71938 ACD/P4AH1,190.0,260.0,33.0,163.0,208.0,5.85,4500.0,6700.0
71938 CD/HCP4A,190.0,260.0,33.0,172.0,220.0,4.55,6300.0,9000.0
71938 CD/HCP4AH1,190.0,260.0,33.0,172.0,220.0,4.55,6300.0,9000.0
71938 CD/P4A,190.0,260.0,33.0,172.0,220.0,6.2,5000.0,7500.0
71938 CD/P4AH1,190.0,260.0,33.0,172.0,220.0,6.2,5000.0,7500.0
7038 ACD/HCP4A,190.0,290.0,46.0,234.0,290.0,5.85,5300.0,8000.0
7038 ACD/HCP4AH1,190.0,290.0,46.0,234.0,290.0,5.85,5300.0,8000.0
7038 ACD/P4A,190.0,290.0,46.0,234.0,290.0,8.0,4300.0,6300.0
7038 ACD/P4AH1,190.0,290.0,46.0,234.0,290.0,8.0,4300.0,6300.0
7038 CD/HCP4A,190.0,290.0,46.0,247.0,305.0,6.1,5600.0,9000.0
7038 CD/HCP4AH1,190.0,290.0,46.0,247.0,305.0,6.1,5600.0,9000.0
7038 CD/P4A,190.0,290.0,46.0,247.0,305.0,8.3,4800.0,7000.0
7038 CD/P4AH1,190.0,290.0,46.0,247.0,305.0,8.3,4800.0,7000.0
71940 ACD/HCP4A,200.0,280.0,38.0,199.0,250.0,5.0,5000.0,7500.0
71940 ACD/HCP4AH1,200.0,280.0,38.0,199.0,250.0,5.0,5000.0,7500.0
71940 ACD/P4A,200.0,280.0,38.0,199.0,250.0,6.8,4300.0,6300.0
71940 ACD/P4AH1,200.0,280.0,38.0,199.0,250.0,6.8,4300.0,6300.0
71940 CD/HCP4A,200.0,280.0,38.0,208.0,265.0,5.3,6000.0,8500.0
71940 CD/HCP4AH1,200.0,280.0,38.0,208.0,265.0,5.3,6000.0,8500.0
71940 CD/P4A,200.0,280.0,38.0,208.0,265.0,7.2,4800.0,7000.0
71940 CD/P4AH1,200.0,280.0,38.0,208.0,265.0,7.2,4800.0,7000.0
7040 ACD/HCP4A,200.0,310.0,51.0,281.0,365.0,7.1,5000.0,7500.0
7040 ACD/HCP4AH1,200.0,310.0,51.0,281.0,365.0,7.1,5000.0,7500.0
7040 ACD/P4A,200.0,310.0,51.0,281.0,365.0,9.8,4000.0,6000.0
7040 ACD/P4AH1,200.0,310.0,51.0,281.0,365.0,9.8,4000.0,6000.0
7040 CD/HCP4A,200.0,310.0,51.0,296.0,390.0,7.5,5300.0,8000.0
7040 CD/HCP4AH1,200.0,310.0,51.0,296.0,390.0,7.5,5300.0,8000.0
7040 CD/P4A,200.0,310.0,51.0,296.0,390.0,10.2,4500.0,6700.0
7040 CD/P4AH1,200.0,310.0,51.0,296.0,390.0,10.2,4500.0,6700.0
71944 ACD/HCP4A,220.0,300.0,38.0,208.0,285.0,5.4,4500.0,6700.0
71944 ACD/HCP4AL,220.0,300.0,38.0,208.0,285.0,5.4,4500.0,6700.0
71944 ACD/P4A,220.0,300.0,38.0,208.0,285.0,7.5,3800.0,5600.0
71944 ACD/P4AL,220.0,300.0,38.0,208.0,285.0,7.5,3800.0,5600.0
71944 CD/HCP4A,220.0,300.0,38.0,221.0,300.0,5.7,5300.0,7500.0
71944 CD/HCP4AL,220.0,300.0,38.0,221.0,300.0,5.7,5300.0,7500.0
71944 CD/P4A,220.0,300.0,38.0,221.0,300.0,7.8,4300.0,6300.0
71944 CD/P4AL,220.0,300.0,38.0,221.0,300.0,7.8,4300.0,6300.0
7044 ACD/HCP4A,220.0,340.0,56.0,319.0,440.0,8.15,4500.0,6700.0
7044 ACD/P4A,220.0,340.0,56.0,319.0,440.0,11.0,3600.0,5300.0
7044 CD/HCP4A,220.0,340.0,56.0,338.0,455.0,8.5,4800.0,7500.0
7044 CD/P4A,220.0,340.0,56.0,338.0,455.0,11.6,4000.0,6000.0
71948 ACD/HCP4A,240.0,320.0,38.0,216.0,305.0,5.6,3800.0,5600.0
71948 ACD/HCP4AL,240.0,320.0,38.0,216.0,305.0,5.6,3800.0,5600.0
71948 ACD/P4A,240.0,320.0,38.0,216.0,305.0,7.8,3200.0,4800.0
71948 ACD/P4AL,240.0,320.0,38.0,216.0,305.0,7.8,3200.0,4800.0
71948 CD/HCP4A,240.0,320.0,38.0,229.0,325.0,6.0,4800.0,6700.0
71948 CD/HCP4AL,240.0,320.0,38.0,229.0,325.0,6.0,4800.0,6700.0
71948 CD/P4A,240.0,320.0,38.0,229.0,325.0,8.15,3800.0,5600.0
71948 CD/P4AL,240.0,320.0,38.0,229.0,325.0,8.15,3800.0,5600.0
7048 ACD/HCP4A,240.0,360.0,56.0,325.0,465.0,8.3,4300.0,6300.0
7048 ACD/P4A,240.0,360.0,56.0,325.0,465.0,11.4,3400.0,5000.0
7048 CD/HCP4A,240.0,360.0,56.0,345.0,490.0,8.65,4500.0,7000.0
7048 CD/P4A,240.0,360.0,56.0,345.0,490.0,12.0,3800.0,5600.0
71952 ACD/HCP4A,260.0,360.0,46.0,265.0,400.0,6.95,3600.0,5300.0
71952 ACD/HCP4AL,260.0,360.0,46.0,265.0,400.0,6.95,3600.0,5300.0
71952 ACD/P4A,260.0,360.0,46.0,265.0,400.0,9.65,2800.0,4300.0
71952 ACD/P4AL,260.0,360.0,46.0,265.0,400.0,9.65,2800.0,4300.0
71952 CD/HCP4A,260.0,360.0,46.0,281.0,425.0,7.35,4300.0,6000.0
71952 CD/HCP4AL,260.0,360.0,46.0,281.0,425.0,7.35,4300.0,6000.0
71952 CD/P4A,260.0,360.0,46.0,281.0,425.0,10.2,3400.0,5000.0
71952 CD/P4AL,260.0,360.0,46.0,281.0,425.0,10.2,3400.0,5000.0
7052 CD/P4A,260.0,400.0,65.0,416.0,630.0,14.6,3400.0,5300.0
